"id","cest"
"321","13.003.01"
"322","13.003.02"
"323","13.004.00"
"324","13.004.01"
"325","13.004.02"
"326","13.005.00"
"327","13.006.00"
"328","13.007.00"
"329","13.008.00"
"330","13.009.00"
"331","13.010.00"
"332","13.011.00"
"333","13.012.00"
"334","13.013.00"
"335","13.014.00"
"336","14.001.00"
"337","14.002.00"
"338","14.003.00"
"339","15.001.00"
"340","15.002.00"
"341","15.003.00"
"342","16.001.00"
"343","16.002.00"
"344","16.003.00"
"345","16.004.00"
"346","16.005.00"
"347","16.006.00"
"348","16.007.00"
"349","16.007.01"
"350","16.008.00"
"351","16.009.00"
"352","17.001.00"
"353","17.002.00"
"354","17.003.00"
"355","17.004.00"
"356","17.005.00"
"357","17.006.00"
"358","17.007.00"
"359","17.008.00"
"360","17.009.00"
"361","17.010.00"
"362","17.011.00"
"363","17.012.00"
"364","17.013.00"
"365","17.014.00"
"366","17.015.00"
"367","17.016.00"
"368","17.017.00"
"369","17.018.00"
"370","17.019.00"
"371","17.020.00"
"372","17.021.00"
"373","17.021.01"
"374","17.022.00"
"375","17.022.01"
"376","17.023.00"
"377","17.023.01"
"378","17.024.00"
"379","17.024.01"
"380","17.024.02"
"381","17.025.00"
"382","17.025.01"
"383","17.026.00"
"384","17.026.01"
"385","17.027.00"
"386","17.028.00"
"387","17.028.01"
"388","17.029.00"
"389","17.030.00"
"390","17.030.01"
"391","17.031.00"
"392","17.032.00"
"393","17.032.01"
"394","17.032.02"
"395","17.033.00"
"396","17.033.01"
"397","17.034.00"
"398","17.035.00"
"399","17.036.00"
"400","17.037.00"
"401","17.038.00"
"402","17.038.01"
"403","17.039.00"
"404","17.040.00"
"405","17.041.00"
"406","17.042.00"
"407","17.043.00"
"408","17.044.00"
"409","17.045.00"
"410","17.046.00"
"411","17.047.00"
"412","17.048.00"
"413","17.049.00"
"414","17.049.01"
"415","17.050.00"
"416","17.051.00"
"417","17.052.00"
"418","17.053.00"
"419","17.053.01"
"420","17.054.00"
"421","17.055.00"
"422","17.056.00"
"423","17.057.00"
"424","17.058.00"
"425","17.059.00"
"426","17.060.00"
"427","17.061.00"
"428","17.062.00"
"429","17.063.00"
"430","17.064.00"
"431","17.065.00"
"432","17.066.00"
"433","17.067.00"
"434","17.068.00"
"435","17.069.00"
"436","17.070.00"
"437","17.071.00"
"438","17.072.00"
"439","17.073.00"
"440","17.073.01"
"441","17.073.02"
"442","17.074.00"
"443","17.075.00"
"444","17.076.00"
"445","17.077.00"
"446","17.078.00"
"447","17.079.00"
"448","17.080.00"
"449","17.081.00"
