"id","tipo","ncm","nacionalfederal","importadofederal","estadual","municipal","versao"
"99","0","2075500","4.20","9.89","7.00","0.00","16.2.B"
"100","0","2076000","4.20","9.89","7.00","0.00","16.2.B"
"101","0","2081000","13.45","19.14","4.94","0.00","16.2.B"
"102","0","2083000","13.45","19.14","4.94","0.00","16.2.B"
"103","0","2084000","13.45","19.14","4.94","0.00","16.2.B"
"104","0","2085000","13.45","19.14","4.94","0.00","16.2.B"
"105","0","2086000","13.45","19.14","4.94","0.00","16.2.B"
"106","0","2089000","13.45","19.14","7.00","0.00","16.2.B"
"107","0","2091011","4.20","8.49","7.00","0.00","16.2.B"
"108","0","2091019","4.20","8.49","17.00","0.00","16.2.B"
"109","0","2091021","4.20","8.49","7.00","0.00","16.2.B"
"110","0","2091029","4.20","8.49","17.00","0.00","16.2.B"
"111","0","2099000","4.20","8.49","17.00","0.00","16.2.B"
"112","0","2101100","4.20","9.89","12.00","0.00","16.2.B"
"113","0","2101200","4.20","9.89","12.00","0.00","16.2.B"
"114","0","2101900","4.20","9.89","12.00","0.00","16.2.B"
"115","0","2102000","4.20","9.89","12.00","0.00","16.2.B"
"116","0","2109100","13.45","19.14","12.00","0.00","16.2.B"
"117","0","2109100","13.45","19.14","12.00","0.00","16.2.B"
"118","0","2109200","13.45","19.14","12.00","0.00","16.2.B"
"119","0","2109200","13.45","19.14","12.00","0.00","16.2.B"
"120","0","2109300","13.45","19.14","12.00","0.00","16.2.B"
"121","0","2109300","13.45","19.14","12.00","0.00","16.2.B"
"122","0","2109900","4.20","9.89","0.00","0.00","16.2.B"
"123","0","2109900","4.20","9.89","0.00","0.00","16.2.B"
"124","0","2109900","4.20","9.89","0.00","0.00","16.2.B"
"125","0","3011110","13.45","19.14","17.00","0.00","16.2.B"
"126","0","3011190","13.45","19.14","17.00","0.00","16.2.B"
"127","0","3011900","13.45","19.14","17.00","0.00","16.2.B"
"128","0","3019110","13.45","15.45","17.00","0.00","16.2.B"
"129","0","3019190","13.45","19.14","17.00","0.00","16.2.B"
"130","0","3019210","13.45","15.45","17.00","0.00","16.2.B"
"131","0","3019290","13.45","19.14","17.00","0.00","16.2.B"
"132","0","3019310","13.45","15.45","17.00","0.00","16.2.B"
"133","0","3019390","13.45","19.14","17.00","0.00","16.2.B"
"134","0","3019410","13.45","15.45","17.00","0.00","16.2.B"
"135","0","3019490","13.45","19.14","17.00","0.00","16.2.B"
"136","0","3019510","13.45","15.45","17.00","0.00","16.2.B"
